Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Bangladesh,BGD,2024,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,83526016292.676
Bangladesh,BGD,2023,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,78167816312.2166
Bangladesh,BGD,2022,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,96671930348.5264
Bangladesh,BGD,2021,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,88070789359.3272
Bangladesh,BGD,2020,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,59835136507.3615
Bangladesh,BGD,2019,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,66963788016.4454
Bangladesh,BGD,2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,67710074715.3028
Bangladesh,BGD,2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,59268104067.9027
Bangladesh,BGD,2016,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,50948491328.485
Bangladesh,BGD,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,48297626955.8469
Bangladesh,BGD,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,47985052372.4836
Bangladesh,BGD,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,44208435661.6417
Bangladesh,BGD,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,39740482108.9667
Bangladesh,BGD,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,39552695273.8532
Bangladesh,BGD,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,31034874410.2694
Bangladesh,BGD,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,24507328507.6505
Bangladesh,BGD,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,26378962124.8588
Bangladesh,BGD,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,20765264113.3539
Bangladesh,BGD,2006,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,17801946033.0814
Bangladesh,BGD,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,15615940998.1694
Bangladesh,BGD,2004,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,13446206767.3172
Bangladesh,BGD,2003,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11431227764.563
Bangladesh,BGD,2002,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,9441855805.72043
Bangladesh,BGD,2001,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10016843464.4205
Bangladesh,BGD,2000,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10017946102.9533
Bangladesh,BGD,1999,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,9190707400.12723
Bangladesh,BGD,1998,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8158949561.44526
Bangladesh,BGD,1997,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8032400239.34774
Bangladesh,BGD,1996,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7643702670.47289
Bangladesh,BGD,1995,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7790362412.01477
Bangladesh,BGD,1994,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5564305484.6177
Bangladesh,BGD,1993,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4765227107.09597
Bangladesh,BGD,1992,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4308527578.14841
Bangladesh,BGD,1991,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3936650516.32572
Bangladesh,BGD,1990,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4139570598.25002
Bangladesh,BGD,1989,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4223427331.8872
Bangladesh,BGD,1988,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3528269603.91441
Bangladesh,BGD,1987,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3112331493.23376
Bangladesh,BGD,1986,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2970945522.22883
Bangladesh,BGD,1985,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2918041693.30835
Bangladesh,BGD,1984,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2953771832.96054
Bangladesh,BGD,1983,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2453586107.9999
Bangladesh,BGD,1982,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2814978248.59134
Bangladesh,BGD,1981,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2995574240.18858
Bangladesh,BGD,1980,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2903749669.41314
Bangladesh,BGD,1979,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2163914311.14573
Bangladesh,BGD,1978,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1654240678.22535
Bangladesh,BGD,1977,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1262655459.51951
Bangladesh,BGD,1976,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,988006165.182099
Bangladesh,BGD,2024,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-3013399293.76544
Bangladesh,BGD,2023,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-7199979887.6317
Bangladesh,BGD,2022,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-17531514896.3582
Bangladesh,BGD,2021,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-15775415833.0742
Bangladesh,BGD,2020,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1192771686.32568
Bangladesh,BGD,2019,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2948537074.51493
Bangladesh,BGD,2018,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-7095172568.14977
Bangladesh,BGD,2017,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-5984992475.63151
