year,current_account_balance,exports,fdi_inflows,imports,personal_remittances,total_external_debt,debt_growth_rate,trade_deficit,economic_era_cluster
1976,-276313647.413357,483588161.486696,5419999.9,988006165.182096,18761274.34,1993989051.5,0.18655539858659176,504418003.6954,0
1977,-280958219.540509,567120159.745643,6980000.0,1262655459.51951,78875038.15,2331728887.3,0.16937898206910007,695535299.773867,0
1978,-383906631.134301,684784580.746182,7700000.0,1654240678.22535,115435371.4,2820088627.0,0.2094410470959558,969456097.4791679,0
1979,-415947091.675333,852604342.478571,-8009999.9,2163914311.14574,171138702.4,2967069235.7,0.052119145225714814,1311309968.667169,0
1980,-702138190.804775,1081034789.04312,8509999.9,2903749669.41314,338666748.0,3802228595.2,0.2814761952472493,1822714880.37002,0
1981,-1016620063.36091,1043424141.64224,5360000.0,2995574240.18858,381052154.5,4209310810.8,0.10706410869507121,1952150098.54634,0
1982,-500670224.195334,1015542802.0184,6960000.0,2814978248.59134,526463684.1,4940329805.1,0.17366714580077924,1799435446.57294,0
1983,-45800312.8961519,975782628.678204,403978.557545405,2453586107.9999,642408508.3,5346293426.4,0.08217338463535673,1477803479.3216958,0
1984,-477650344.929692,1207351321.42225,-553269.398283548,2953771832.96054,500747406.0,5541814231.1,0.036571282027753726,1746420511.5382898,0
1985,-455173414.815745,1278986213.32445,-6660000.0,2918041693.30835,502471374.5,6530064193.2,0.1783260717318993,1639055479.9839,0
1986,-625181389.192179,1126729575.3453,2436499.3440436,2970945522.22883,576282470.7,7913829647.5,0.21190686850229845,1844215946.88353,0
1987,-237116009.329417,1372242422.50266,3205086.7621919,3112331493.23376,747808898.9,9737967442.0,0.23050000767659307,1740089070.7310998,0
1988,-272836596.925602,1623516532.30954,1838242.49913628,3528269603.91441,763622131.3,10275887393.3,0.05523944853008467,1904753071.60487,0
1989,-1099566160.5206,1727889680.81809,247908.273938643,4223427331.8872,757979553.2,10701050528.9,0.041374834048610865,2495537651.06911,0
1990,-397909576.598945,2128166694.48456,3238781.1889563,4139570598.25002,778865600.6,12291780361.5,0.14865174482673127,2011403903.76546,0
1991,64593233.3294281,2189663684.16161,1390444.32247979,3936650516.32572,769365722.7,12997665568.6,0.05742741786299366,1746986832.1641097,0
1992,180790960.390377,2681277318.50375,3721853.382288,4308527578.14841,911759948.7,13427954471.8,0.03310509113571114,1627250259.64466,0
1993,359263637.714099,3174232178.35729,14049886.524576,4765227107.09597,1007375061.0,14125214056.8,0.05192597178254599,1590994928.7386804,0
1994,199568821.474148,3674705067.31616,11147788.327757,5564305484.6177,1150881226.0,15490545904.5,0.09665919696577752,1889600417.3015394,0
1995,-823880196.636125,4701572921.84713,1896372.12711772,7790362412.01477,1201664266.51586,15734744113.2,0.015764338468475803,3088789490.1676397,0
1996,-991418974.998469,4743506599.82131,13529831.5362585,7643702670.4729,1344661208.65883,15169074222.9,-0.03595037111696375,2900196070.6515903,0
1997,-286312953.221846,5613818705.67122,139376153.115316,8032400239.34773,1526499543.77216,14257776105.5,-0.06007605368719593,2418581533.67651,0
1998,-35165989.3452837,5956824418.79564,190059372.974749,8158949561.44526,1605786652.44555,15507392996.3,0.0876445864736195,2202125142.64962,0
1999,-364355314.194404,6330290046.4015,179603006.318604,9190707400.12723,1806794191.65168,16449663349.3,0.06076265386611546,2860417353.72573,0
2000,-305831650.647999,7292611567.70183,280384629.677982,10017946102.9533,1967528858.46792,15600564697.1,-0.051617995710297127,2725334535.2514706,0
2001,-535424727.721444,6913563236.58278,78527040.0772573,10016843464.4205,2104551469.14176,14978802400.8,-0.03985511475847925,3103280227.83772,0
