year,annual_rfq_national,monsoon_rfq,drought_districts_pct,cereal_price_index,food_vulnerability_index,food_price_inflation_yoy,current_account,exports,external_debt_stock,imports,debt_growth_rate,trade_deficit,risk_cluster
1999,101.89097622278528,130.05936776216217,0.0,16.238,1.0286003864061064,-0.12563120737106603,-364355314.194404,6330290046.4015,16449663349.3,9190707400.12723,0.06076265386611546,2860417353.72573,0
2000,106.94314176201202,101.42499405045045,0.0,15.7865,1.0,-0.027805148417292758,-305831650.647999,7292611567.70183,15600564697.1,10017946102.9533,-0.051617995710297127,2725334535.2514706,0
2001,103.12469995495496,103.24755261891892,0.0,15.232999999999999,0.9649383967313844,-0.035061603268615626,-535424727.721444,6913563236.58278,14978802400.8,10016843464.4205,-0.03985511475847925,3103280227.83772,0
2002,103.46128055142643,98.7961453981982,0.0,16.10782608695652,1.0203544856020348,0.057429665000756414,739250272.000126,6941782608.39971,16687587182.1,9441855805.72043,0.11408020051113943,2500073197.3207207,0
2003,99.77196264451952,100.04482457837838,0.0,16.60909090909091,1.0521072377722047,0.031119334131642473,131637632.009357,7984802607.16541,18440377575.4,11431227764.563,0.10503557969004285,3446425157.3975897,0
2004,101.66050394406908,113.15554048108108,0.0,12.79,0.8101859183479555,-0.22993979200875758,-278679383.745514,9219984982.1651,19714073691.8,13446206767.3172,0.06907104321438329,4226221785.1520996,0
2005,100.64972014752252,111.43670395495495,0.0,9.619545454545454,0.6093526402017835,-0.24788542184945628,-173741535.952961,10668033942.2202,18503086016.3,15615940998.1694,-0.0614275717151096,4947907055.9492,0
2006,85.78415497935435,78.20867508108108,0.0,3.962661290322581,0.2510158230337681,-0.5880614828375146,1196063083.00571,13064944732.013,20160932717.1,17801946033.0814,0.08959838911949847,4737001301.068401,1
2007,117.03164847334834,119.71884405945946,0.0,4.292677595628415,0.2719207928057781,0.08328148209683839,856792635.005175,14334394905.476,21523544177.4,20765264113.3539,0.06758672723233028,6430869207.877901,2
2008,94.24798522259759,104.01179467972973,0.0,7.76390350877193,0.4918065124487334,0.8086388590372005,926185438.562718,17687393265.7426,23346917708.3,26378962124.8588,0.08471530134031391,8691568859.1162,1
2009,88.80430688438437,94.14443676756757,0.0,5.398700787401575,0.3419821231686298,-0.3046409217603061,3556126394.04663,17082688770.8272,25377795050.4,24507328507.6505,0.08698695765642794,7424639736.823301,1
2010,91.84024704654654,92.40580606306307,0.0,6.134877049180329,0.38861540234886316,0.13636174531040823,2108502536.74166,21764077876.4401,26571755072.0,31034874410.2694,0.047047429425165044,9270796533.8293,1
2011,90.78131257023273,96.65012593117116,0.0,6.227894736842105,0.39450763227074426,0.015162111141934664,-161842538.678824,27147928001.3127,27046084648.2,39552695273.8532,0.01785089373715576,12404767272.540504,1
2012,95.80757768055555,89.5259220054054,0.0,5.7924497991967865,0.36692425801772316,-0.06991848064954831,2575500680.61049,27768035486.5528,29155976742.1,39740482108.9667,0.07801099942354939,11972446622.413898,1
2013,91.37352395720721,92.01232016576577,0.0,6.4384765625,0.40784699347543785,0.11152910870160593,2058473420.43086,31767533486.4156,32454687016.8,44208435661.6417,0.11314010516193074,12440902175.2261,1
2014,83.79324274463212,90.9908878600901,0.0,7.640689655172414,0.48400149844312634,0.18672322264470687,755790761.66014,33138217973.1849,35270692354.7,47985052372.4836,0.08676729300893604,14846834399.298698,1
2015,100.40265094421923,103.21075060846847,0.0,6.867470355731226,0.43502171828658825,-0.10119757958206721,2579621008.7762,35107953649.4787,38770937144.2,48297626955.8469,0.09923946925395621,13189673306.368202,1
2016,105.91195276257507,91.54448618693694,0.0,6.389353612167301,0.4047352872496944,-0.06962050344562676,931393867.987116,37756801960.699,41569252897.7,50948491328.485,0.07217560264515344,13191689367.786003,1
2017,134.04934155367866,145.80552984864863,0.0,8.115,0.5140468121496216,0.2700815282075697,-5984992475.63151,39281430149.3669,51068283464.6,59268104067.9027,0.22851097637661844,19986673918.535805,2
2018,91.4629415716967,76.91631836126126,0.0,6.233409090909091,0.39485694048136644,-0.2318657928639445,-7095172568.14977,44518232859.6161,57125459320.6,67710074715.3028,0.11860934899444531,23191841855.686707,1
2019,113.4750863141892,97.36356754144144,0.0,6.15484375,0.3898801982706743,-0.012603912203303258,-2948537074.51493,45143332661.7344,62468325028.8,66963788016.4454,0.09352862579563226,21820455354.711,2
2020,114.3542672670045,115.18582245225225,0.0,2.2268404907975463,0.14105979734567803,-0.6381970718919475,1192771686.32568,38693585662.5986,73550857817.1,59835136507.3615,0.177410436140085,21141550844.7629,2
2021,101.12543520964715,111.39859946576577,0.0,1.1456612021857924,0.07257221057142446,-0.4855216586368645,-15775415833.0742,49625878882.3326,91477590071.6,88070789359.3272,0.24373247011039179,38444910476.99459,3
2022,98.12165655555555,101.38652315225225,0.0,0.6874416135881105,0.043546170055940865,-0.3999608153993961,-14437645294.5494,60494519966.4452,96944431751.0,96850113683.3775,0.05976154023210567,36355593716.932304,3
2023,102.49890732751503,92.73918212117117,0.0,0.6771532184950135,0.04289444895923818,-0.014966209332886615,4387571900.12179,59346626776.7799,101370771740.3,77501889185.137,0.04565852735790932,18155262408.357094,1
2024,104.18550552102103,114.85792409909911,0.0,0.6416915544675642,0.040648120512308886,-0.05236874470782782,1434553195.37687,55234026095.1056,104486886261.1,81398218425.737,0.030739773085511457,26164192330.6314,2
