market,mean,std,cluster
Bagerhat Sadar,0.9458045977011494,0.4145422808806099,2
Bandarban Sadar,0.9926067415730337,0.36682795480834146,2
Barguna Sadar,1.0153374233128833,0.3727910781011775,2
Barisal Division,0.7133592233009709,0.3345380941930554,0
Barisal Sadar,0.8650943396226415,0.38321722468441105,2
Bhashan Char,0.7210576923076922,0.4336409822579641,0
Bhola Sadar,0.921938775510204,0.3253155745073419,2
Bogra Sadar,0.9169827586206897,0.4232590322672417,2
Brahmonbaria Sadar,0.9677358490566038,0.35719179779996635,2
Chandpur Sadar,0.8532530120481927,0.35323973906259765,2
Chittagong Division,0.7275043936731107,0.3343067670647867,0
Chittagong Sadar,0.9457352941176471,0.42656184884872933,2
Chuadanga Sadar,0.988495575221239,0.4254686937428493,2
Comilla Sadar,0.9333888888888888,0.38630344382860776,2
Cox`s Bazar Sadar,0.8569758064516129,0.43690683029642685,2
Dhaka,19.80517826825127,18.263701715438785,1
Dhaka Division,0.6661669505962522,0.3444297746868814,0
Dhaka Sadar,0.7983098591549296,0.3460352374771485,0
Dinajpur Sadar,0.92728,0.37448109474655816,2
Faridpur Sadar,0.8252727272727272,0.4299625106124379,2
Feni Sadar,0.9008823529411765,0.3470136523907002,2
Gaibandha Sadar,1.0727083333333334,0.39266827882193706,2
Gazipur Sadar,0.8503370786516855,0.3767717450698007,2
Gopalgonj Sadar,0.877007299270073,0.4393550837901063,2
Habigonj Sadar,0.8279870129870129,0.44607713490802403,2
Jaipurhat Sadar,0.8876436781609195,0.3930577764825992,2
Jamalpur Sadar,0.9537659574468085,0.37918458602474536,2
Jessore Sadar,0.8896111111111111,0.3829981167287288,2
Jhalokati Sadar,0.7938636363636363,0.3632029950102499,0
Jhenaidah Sadar,0.7874528301886793,0.377149866184972,0
Khagrachari Sadar,0.7944186046511629,0.40636711192118247,0
Khulna Division,0.6882439926062847,0.32671153828148103,0
Khulna Sadar,0.856027397260274,0.3757594231310768,2
Kishoregonj Sadar,0.8056129032258065,0.37638072026297037,0
Kurigram Sadar,0.8576470588235294,0.37476705815891553,2
Kushtia Sadar,0.851,0.4429442242526891,2
Lalmonirhat Sadar,0.9769918699186992,0.3688883054537961,2
Laxmipur Sadar,0.8825000000000001,0.40171367150480936,2
Madaripur Sadar,0.8788095238095237,0.3910702175938832,2
Magura Sadar,0.8832638888888888,0.40458876620071854,2
Manikganj Sadar,0.7071328671328672,0.32492820957395036,0
Maulavibazar Sadar,0.8537869822485207,0.4103800237306251,2
Meherpur Sadar,0.7504347826086956,0.4025274901361854,0
Munshiganj Sadar,0.7319819819819819,0.3206550676344791,0
Mymensing Sadar,0.9309523809523809,0.39029552086503116,2
Naogaon Sadar,0.8001298701298701,0.4346149780000039,0
Narail Sadar,0.8615508021390375,0.44853075719197083,2
Narayanganj Sadar,0.8058024691358024,0.4248201507624458,0
Narsingdi Sadar,0.8183760683760684,0.3865585499323334,0
Natore Sadar,0.8626428571428572,0.4195383051843513,2
Nawabgonj Sadar,0.7990659340659341,0.3774276207279339,0
Netrakona Sadar,0.9943506493506493,0.3961413976856748,2
Nilphamari Sadar,0.8615702479338843,0.39384855013160996,2
Noakhali Sadar,0.8121192052980132,0.3655636912523328,0
Pabna Sadar,0.9494871794871795,0.4115652337656356,2
Panchagarh Sadar,1.133009708737864,0.37213700553050133,2
Patiya Sadar,0.7922222222222222,0.34078393705729787,0
Patuakhali Sadar,0.8408749999999999,0.40854064465280976,2
Pirojpur Sadar,0.8529530201342282,0.3994007392089829,2
Rajbari Sadar,0.6845714285714286,0.3384611205338841,0
Rajshahi Division,0.706021052631579,0.3435099903640391,0
Rajshahi Sadar,0.8634343434343434,0.3701821793673221,2
Rangamati Sadar,0.8762921348314606,0.3910680205040467,2
Rangpur Municipality Market,0.9580891719745223,0.40837723535520587,2
Rangpur Sadar,0.8254545454545454,0.19740129869702663,0
Satkhira Sadar,0.8436702127659576,0.37228710352390915,2
Shariatpur Sadar,0.9016216216216216,0.3410106384385324,2
Sherpur Sadar,1.0018994413407822,0.37865784702293664,2
Sirajgonj Sadar,0.8625906735751295,0.5140327925216102,2
Sunamgonj Sadar,0.8721965317919075,0.4055685452196984,2
Sylhet Division,0.7693240093240094,0.35335013466796517,0
Sylhet Sadar,0.9098453608247422,0.42092111774272645,2
Tangail sadar Market,1.0452142857142859,0.43118786547631244,2
Teknaf Market,0.9250375939849624,0.5204741778302807,2
Thakurgaon Sadar,0.8925414364640885,0.39793237099360457,2
Ukhia Market,0.9141860465116279,0.5192884218970023,2
