PCODE,dry,monsoon,post-monsoon,pre-monsoon,cluster
BD10,101.4183120308642,100.5899935511111,103.6215222925926,100.57386509975491,0
BD1004,102.19324928641974,99.54914981629629,102.26523818518518,100.17644074754901,0
BD1006,102.72632217037037,101.61779806888889,103.56427182962963,101.19633084019608,1
BD1009,100.67647926543209,100.5717490911111,104.25275381851851,100.26208142904412,0
BD1042,103.63037678271606,100.38701759481481,103.55369683703704,100.33372134803922,1
BD1078,101.26873268641975,100.09291488518518,103.33979767407408,99.42419784313725,0
BD1079,102.98531021728395,99.99502231481482,101.10676250370372,100.66394493872549,1
BD20,101.65025596049382,100.38909652000001,105.02786596296296,100.80263708946077,0
BD2003,101.48657484938272,99.72002129037037,104.71325543703703,98.3361535379902,0
BD2012,102.6774648345679,100.36245378222223,105.64949457037036,101.23686845343138,0
BD2013,101.92064504444444,101.15434600444445,103.46041404444445,102.78896675759803,1
BD2015,101.63736875802469,100.81592921111111,105.6926568962963,100.38905712009804,0
BD2019,102.74577303950618,101.2684821125926,104.32115862222221,102.87165773039216,1
BD2022,101.87924367160494,99.99468037925926,103.11800678518519,96.9633082107843,0
BD2030,103.44692725679012,100.62163175288889,104.23671340740742,101.42896894607843,1
BD2046,101.80087131111111,100.87190763703704,107.78361718518518,101.78792863480393,0
BD2051,100.56940330864198,100.48537676518518,101.99859809629629,101.70736523700981,0
BD2075,100.93956584444445,100.07373257481481,102.83730478518518,100.81545381446078,0
BD2084,101.0486225382716,100.45759895555555,106.62679371851851,101.12128798039215,0
BD30,101.81367571358025,100.93871972740742,103.03053737037035,102.62523448529411,1
BD3026,102.27212349382717,101.85875028,103.76179282962963,103.62165508333334,1
BD3029,102.7114622888889,101.07891600296296,102.07153516296296,104.46855514215686,1
BD3033,102.16092744444445,100.79926760888888,104.00947962222223,102.11991413602941,1
BD3035,101.75199170123456,101.7011252925926,99.60069388148149,101.8965393897059,2
BD3048,100.80589076790123,99.16532928000001,105.35595611111111,101.4112359992647,0
BD3054,101.94902665432099,102.34951157111111,101.61973825185186,102.91464518382354,2
BD3056,101.91814999012345,101.67107036148148,102.7664938962963,104.47074450000001,1
BD3059,102.251152,101.7793248162963,104.53774132592594,103.40057092892157,1
BD3067,102.44888009135802,101.56585679407408,104.16296732592592,102.89681899754902,1
BD3068,102.15429655802468,100.17328226222222,104.09005017037036,101.94222537009804,1
